	Código Proyecto	Foco Apoyo	Tipo Intervención	Instrumento	Instrumento Homologado	Estado Data	Tipo Persona	Rut Beneficiario	Beneficiario	Título	Objetivo	Año Adjudicación	Financiamiento Innova	Aprobado Privado	Aprobado Privado Pecuniario	Monto Certificado Ley	Tipo Innovación	Mercado Objetivo	Criterio Mujer	Género	Sostenible	ODS principal	Meta principal	Economía Circular	Modelo de Circularidad	Región	Tramo Ventas	Inicio Actividad Económica	Sector Económico	Patron principal asociado	Tipo proyecto	R principal	Estrategia R Principal	Ley REP	Ley REP (Sí/No)	ERNC	Tendencia Final
1312	22CVC2-218210	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	76252650-6	Inversiones Dhemax Ingenieros S.p.a.	Sistema cargador split ultra eficiente para flotas: Desarrollar un innovador producto en base a estrategia corporate venturing, que reduzca OPEX de clientes transportistas y dueños de flotas.	desarrollar y validar un cargador rápido dc ultra eficiente para vehículos eléctricos (norma ccs2), desde prototipos basados en convertidor parcial y micro inversores, hasta nivel de pmv validado técnica y comercialmente, con objeto de generar una solución para carga de flotas (buses, taxis) que mejora la oferta de valor actual en términos de tamaño, densidad y eficiencia en la carga, reduciendo así el opex de clientes transportistas y dueños de flotas.	2022.0	119568000	$65.200.000	$38.533.333		Producto	Energético	No	Masculino	Sí	ODS7	7.3	No		Región de Valparaíso	Pequeña	2005-04-13 00:00:00	Energético		Producción Sostenible			No			Manufactura Avanzada (Advanced Manufacturing)
1313	22CVC2-218206	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	96766340-9	EFE Valparaíso S.A.	Desarrollo y validación de SIMUTREN - Simulador de Carga de Pasajeros, basado en modelado estocástico y simulación de eventos, posibilitando simular y analizar distintos escenarios; mejorar los modelos estadísticos de pasajeros y optimizar la red	desarrollar y validar simutren, simulador de carga de pasajeros, mediante tecnología de  análisis de eventos discretos y modelado estocástico empaquetado en software para efe valparaíso, posibilitando simular y analizar distintos escenarios (nuevas estaciones, impacto de buses de acercamiento); mejorar los modelos estadísticos de pasajeros ; y detectar perfiles de tráfico por estación, para  optimizar la red completa de efe valparaíso.	2022.0	92191200	$23.652.000	0		Servicio	Logística y Transporte	No	Masculino	Sí	ODS11	11.2	No		Región de Valparaíso	Grande	1995-12-19 00:00:00	Logística y Transporte		Producción Sostenible			No			Manufactura Avanzada (Advanced Manufacturing)
1317	22CVC2-218133	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	96779780-4	Plasticos Janzen SA	“Bandejas bioplásticas compostables, para el envasado de champiñones y setas chilenas, a partir de residuos de la industria de la papa”	desarrollar bandejas termoformadas compostables para el envasado de champiñones y setas chilenas, a partir de un biomaterial elaborado con residuos de la industria de la papa y plásticos compostables, cumpliendo con los requerimientos técnicos para esta aplicación y los estándares del mercado.	2022.0	119708400	$31.569.600	0		Producto	Alimentos (excepto producción de vino y derivados)	No	Masculino	Sí	ODS12	12.5	Sí	Recuperación de Recursos	Región del Biobío	Pequeña	1996-02-08 00:00:00	Química, caucho y plásticos (excepto industria farmacéutica)	Simbiosis Industrial	Economía Circular	R9 Recuperar	Aplicación útil de materiales	No			Materiales Avanzados (Advanced Materials)
1320	22CVC2-218122	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	76062197-8	Fertilizantes del Pacífico S.A.	Portafolio de prototipos de bioinsumos agrícolas en base a actinobacterias nativas para el control de fitopatógenos y promoción del crecimiento vegetal	desarrollar y validar nuevos bioinsumos agrícolas, en base a actinobacterias nativas como un nuevo principio activo, para el control de fitopatógenos y promoción del crecimiento vegetal, en cultivos de alto valor e interés comercial.	2022.0	119708564	$31.507.791	$13.343.000		Producto	Agrícola (excepto cultivo de uvas)	No	Femenino	Sí	ODS2	2.4	No		Región de Ñuble	Grande	2009-07-07 00:00:00	Química, caucho y plásticos (excepto industria farmacéutica)		Producción Sostenible			No			Sin tendencia
1321	22CVC2-218109	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	76336365-1	BOTANICAL SOLUTIONS SPA	Desarrollo y Validación de nuevo bioinsecticida en base a especies vegetales de familia Rhamnaceae producidas in vitro a escala industrial sin afectar ecosistemas silvestres	desarrollar y validar un nuevo bioinsecticida en base a la actividad biocida de especies vegetales de los géneros talguenea, colletia y discaria (de la familia rhamnaceae) producidas sustentablemente in vitro a escala industrial, validando que posea una eficacia de al menos un 95% ( similar a un insecticida químico a nivel de campo), para el control de plagas de lepidópteros de interés nacional e internacional como son cydia pomonella, cydia molesta y lobesia botrana.	2022.0	119551650	$43.080.000	$21.660.000		Producto	Agrícola (excepto cultivo de uvas)	No	Masculino	Sí	ODS2	2.4	No		Región del Biobío	Pequeña	2013-11-11 00:00:00	Agrícola (excepto vitivinícola)		Producción Sostenible			No			Sin tendencia
1322	22CVC-206648	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	77121346-4	Kallfü	Desarrollo y validación de un nuevo producto biorremediador de suelos erosionados mediante la revalorización de desechos marinos	desarrollar y validar un nuevo producto biorremediador de suelos erosionados, el que será formulado en base a conchas de moluscos marinos desechadas, mediante pruebas de campo extenso, determinando variables fisico-quimicas, biologicas y funcionales del producto, con el propósito de validar su proceso de producción a escala piloto (determinando aumentos en la capacidad productiva), además de su validación comercial (determinando potencial número de ventas) en el mercado agrícola nacional	2022.0	95440000	$33.600.000	$33.600.000		Producto	Agrícola (excepto cultivo de uvas)	no aplica	Femenino	Sí	ODS12	12.5	Sí	Suministro Circular	Región de Valparaíso	Microempresa	2020-02-10 00:00:00	Agrícola (excepto cultivo de uvas)	Ecodiseño	Economía Circular		Aplicación útil de materiales	No			Mass customization
1324	22CVC-206638	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	77376045-4	AGROGESTION SPA	Definición de una estrategia tecnológica para la producción estandarizada de cuajo caprino en la comuna de Canela	definir un proceso tecnológico estandarizado para la obtención de cuajo desde cabrito, considerando generar un producto estándar en cuanto al proceso de coagulación, y que permita obtener un producto queso con características tecnológicas (texturales) y organolépticas apetecibles por el público consumidor y de fácil manejo para el productor de quesos	2022.0	70164380	$17.608.520	0		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Femenino	No					Región de Valparaíso	Microempresa	2021-06-03 00:00:00	Alimentos (excepto producción de vino y derivados)					No			Green Technologies (Tecnologías Verdes)
1325	22CVC-206634	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	76465521-4	Inversiones Emprende Consultores Limitada	Desarrollo de tecnología aplicada a la obtención de un hidrolizado/concentrado proteico con funcionalidad tecnológica a partir de descartes de la industria salmonera, de potencial aplicación en matrices alimentarias de consumo humano	desarrollar una tecnología aplicada a la obtención de un hidrolizado/concentrado proteico a base de carne de salmón que posea funcionalidad tecnológica comparable a la funcionalidad tecnológica de la proteína de soya, de potencial uso y aplicación en alimentos procesados de la industria cárnica.	2022.0	107398000	$41.280.000	$16.200.000		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Masculino	Sí	ODS12	12.3	Sí	Suministro Circular	Región de Valparaíso	Microempresa	2015-01-02 00:00:00	Alimentos (excepto producción de vino y derivados)	Biodiseño	Economía Circular		Uso y fabricación de productos más inteligentes	No			Sin tendencia
1330	22CVC-206611	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	77168603-6	Zeewi Biotech SpA	Empaques flexibles compostables fabricados a partir de algas marinas del litoral chileno, para la comercialización de productos vía comercio electrónico (e-commerce)	desarrollar una formulación termoplástica grado extrusión, a partir del alga marina “lechuga de mar”, abundante en las costas chilenas y biopolímeros certificados biodegradables, para generar una alternativa ambientalmente sustentable y diferenciada de empaque flexible compostable, tipo bolsa, destinada al almacenamiento, transporte y despacho de productos vía comercio electrónico (e-commerce), en reemplazo de los embalajes tradicionales que se fabrican con plásticos derivados del petróleo..	2022.0	119890000	$30.500.000	$30.500.000		Producto	Comercio y retail	no aplica	Femenino	Sí	ODS12	12.1	No		Región del Biobío	Sin ventas	2020-06-12 00:00:00	Comercio y retail		Producción Sostenible			No			Mass customization
1337	22CVC-206583	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	77054207-3	Energía Curcular SpA	Co-pirólisis de NFU con Plástico residual no reciclable y mascarillas desechables: una oportunidad de valorización energética	valorizar residuos plásticos industriales, inicialmente mascarillas desechables y plásticos residuales, pero también plásticos post-consumo no reciclables, mediante co-procesamiento con nfu, al menos en un 20%, para la producción de una fracción de líquido combustible con mejores propiedades fisicoquímicas que al producido sólo con nfu, factible de utilizar en mezclas con diésel para la generación de energía eléctrica.	2022.0	119862500	$50.438.520	0		Proceso	Gestión de desechos y Valorización de residuos	no aplica	Femenino	Sí	ODS12	12.5	Sí	Recuperación de Recursos	Región del Biobío	Microempresa	2019-08-19 00:00:00	Comercio y retail	Reciclar	Economía Circular		Aplicación útil de materiales	Sí	Neumáticos		Manufactura Avanzada (Advanced Manufacturing)
1339	22CVC-206546	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	76943670-7	INVERSIONES DIAMANTE SPA	Valorización del cáñamo (Cannabis sativa ssp.) en Chile: Fibras vegetales como alternativa sustentable para el desarrollo de productos con baja huella ecológica	establecer un proceso escalado de producción de fibras vegetales no maderables, a partir de la valorización del tallo del cáñamo en chile, validando su uso en dos productos comerciales. las fibras de cáñamo tendrán una morfología única y no conocida en el mercado de chile, pudiendo lograr fibras finas y más largas que el algodón, con gran atractivo para muchos desarrollos en el área textil, bio-compuestos construcción, materiales etc.	2022.0	120000000	$30.000.000	0		Producto	Multisectorial	no aplica	Masculino	Sí	ODS12	12.2	No		Región del Biobío	Sin ventas	2007-09-21 00:00:00	Comercio y retail		Producción Sostenible			No			Materiales Avanzados (Advanced Materials)
1343	22CVC-206529	Desarrolla innovación con I+D	Subsidio	Crea y Valida I+D+i Colaborativo	Crea y Valida I+D+i Colaborativo	VIGENTE	Persona Jurídica constituida en Chile	77168576-5	Innova Crece SPA	Desarrollo y comercialización de ectoparasiticida ecológico de Eucaliptol, para mascotas y bovinos	desarrollar y validar ectoparasiticidas sustentables de prolongado periodo de acción a base de eucaliptolmicroencapsulado, que tenga una relación costo/efectividad óptima, para su aplicación en el control de garrapatas demascotas domésticas y mosca del cuerno de ganado vacuno, permitiendo evitar la generación de resistencia deagentes patógenos y asegurar la inocuidad para la salud de los animales y de las personas.	2022.0	119233212	$39.517.887	$19.455.887		Producto	Otros servicios empresariales	no aplica	Masculino	Sí	ODS12	12.2	No		Región del Biobío	Sin ventas	2020-07-03 00:00:00	Servicios de ingeniería o de conocimiento		Producción Sostenible			No			Sin tendencia
1349	22CV-207454	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	77432522-0	Recurso Circular Reciclaje SpA	Elaboración de tintes orgánicos para mulch proveniente de residuos madereros	desarrollar un tinte orgánico que cumpla con los requerimientos del mercado, se plantea que sea en base a materiales vegetales y/o minerales como resinas, almidones, aceites de linaza o de frutas cítricas y ceras. con la finalidad de ser utilizado en la tinción de mulch proveniente de residuos madereros, generando una alternativa totalmente sustentable para decorar jardines y parques de manera llamativa, reemplazando el pasto decorativo y así evitando un gasto considerable de recursos hídricos.	2022.0	29720000	$9.560.000	$2.000.000		Producto	Sector público	no aplica	Femenino	Sí	ODS12	12.5	Sí	Suministro Circular	Región de Valparaíso	Microempresa	2021-08-30 00:00:00	Gestión de desechos y Valorización de residuos	Biodiseño	Economía Circular		Uso y fabricación de productos más inteligentes	No			Materiales Avanzados (Advanced Materials)
1352	22CV-207444	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	77092411-1	Kadi Cowork SpA	MODAG, cuaderno de campo inteligente de registro, monitoreo, análisis, trazabilidad, recomendación y predicción para la gestión agrícola	desarrollar nuevas e innovadoras capacidades al cuaderno de campo digital modag que permita comunicar en línea y en tiempo real a agricultores, asesores empresas exportadoras, para mejorar los rendimientos productivos, la trazabilidad de las labores de campo, y aumentar los índices de competitividad de las explotaciones agrícolas.	2022.0	26784000	$14.086.000	$1.520.000		Servicio	Agrícola (excepto cultivo de uvas)	no aplica	Masculino	Sí	ODS8	8.2	No		Región del Maule	Microempresa	2019-12-19 00:00:00	Servicios de ingeniería o de conocimiento		Producción Sostenible			No			Sin tendencia
1361	22CV-207385	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	77468522-7	Sanus In Vivo SpA	OracleAtCare: Herramienta healthtech de base científica-tecnológica para el asesoramiento en medicina botánica y fitoterapia, a partir de la integración de Inteligencia Artificial, Big Data, y Cloud Computing	desarrollar, testear y validar la solución oracleatcare, una herramienta healthtech orientada al asesoramiento en medicina herbal o fitoterapia de acuerdo a sintomatología, por medio de la integración de big data, sistemas expertos y cloud computing. la herramienta será validada técnica y comercialmente gracias a la red de alianzas con farmacias como ketsemani, knop y la yerberia don juan, con 4 sucursales en biobío.	2022.0	29870000	$8.100.000	900		Producto	Salud y Farmacéutica (en humanos)	no aplica	Masculino	Sí	ODS3	3.d	No		Región del Biobío	Microempresa	2021-10-26 00:00:00	Salud y Farmacéutica (en humanos)		Innovación Social			No			Cloud
1363	22CV-207359	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	76051644-9	INGENIERIA DE SISTEMAS OPEN GREEN ROAD S.A.	PuntajeTécnico: Formando especialistas.	potenciar los procesos de aprendizaje de estudiantes de educación media técnico profesional a través de experiencias piloto con apoyo de herramientas virtuales e innovadoras metodologías de aprendizaje. pudiendo así, identificar una estrategia de intervención con recursos claves para ellos en una plataforma única cuyo flujo motive y facilite el aprendizaje, incrementando el índice de satisfacción (escala likert) de la plataforma y el avance de los planes de estudios sugeridos.	2022.0	29411040	$18.800.000	$3.680.000		Servicio	Educación y servicios conexos	no aplica	Masculino	Sí	ODS4	4.3	No		Región del Biobío	Mediana	2009-02-23 00:00:00	Otras industrias manufactureras		Innovación Social			No			Sin tendencia
1364	22CV-207353	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	76067827-9	Varmac Global Telecomunicaciones Limitada	Satellite System & Mobile Internet X45 (SSMIX45)	validar comercial y técnicamente el dispositivo ssmi-x45, actualmente se cuenta con un prototipo a baja escala, el cual, debe ser fabricado de manera industrial, para soportar las condiciones adversas de la industria, poner a prueba las competencias del sistema electrónico, packing y a su vez lograr la validación comercial con la industria.	2022.0	29890000	$7.670.000	$3.350.000		Producto	Pesca y acuicultura	no aplica	Masculino	Sí	ODS9	9.c	No		Región del Biobío	Pequeña	2009-10-01 00:00:00	Telecomunicaciones		Producción Sostenible			No			Sin tendencia
1368	22CV-207282	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	VIGENTE	Persona Jurídica constituida en Chile	77465687-1	Safe Traveler Tips SpA	Safe Treveler Tips, los tips para tus trips en un solo lugar.	validar comercialmente la aplicación safe traveler tips para turistas y viajeros en general, que contenga toda la información oficial centralizada de documentación legal para poder viajar internacionalmente. se espera que se realicen 300 descargas en un plazo de 12 meses, con la información de 50 países y preparar su etapa de escalamiento y rondas de inversión	2022.0	29999903	$7.883.297	$1.700.000		Servicio	Logística y Transporte	no aplica	Femenino	No	ODS9	9.4			Región de Ñuble	Microempresa	2021-10-19 00:00:00	Turismo					No			Sin tendencia
1374	22CV-207231	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	VIGENTE	Persona Jurídica constituida en Chile	77545737-6	Green Dots SpA	Green Dots - Pintura sustentable y sostenible	el objetivo principal de nuestro proyecto es la construcción de un producto mínimo viable (basado en el prototipo actual) que permita la validación técnica, tecnológica y comercial de green dots, para una posterior evaluación e iteración (en caso necesario) del modelo de negocio y fórmula productiva con el fin de asegurar un correcto escalamiento comercial del producto mediante su empaquetamiento comercial.	2022.0	30000000	$7.530.000	$7.530.000		Producto	Multisectorial	no aplica	Masculino	Sí	ODS12	12.5	Sí	Recuperación de Recursos	Región de Valparaíso	Microempresa	2022-04-01 00:00:00	Química, caucho y plásticos (excepto industria farmacéutica)	Reciclar	Economía Circular		Aplicación útil de materiales	No			Materiales Avanzados (Advanced Materials)
1379	22CV-207207	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	76599149-8	BIZPRO CONSULTORES SPA	WATC APP: Sistema interactivo de alerta de violencia en estadios de fútbol basado en inteligencia artificial	desarrollar el producto mínimo viable para la aplicación móvil y plataforma web watc app, con el fin de disminuir la violencia en los estadios de fútbol, mediante un sistema de denuncias en tiempo real, donde los asistentes podrán alertar sobre situaciones de violencia física, de genero, inclusión, racismo, etc. estas alertas serán vistas en la oficina de seguridad y reportadas al club anfitrión con el propósito de mejorar la experiencia de los hinchas, incorporando inteligencia artificial.	2022.0	30000000	$7.542.000	$1.710.000		Servicio	Industria creativa y esparcimiento	no aplica	Masculino	Sí	ODS16	16.1	No		Región de Valparaíso	Microempresa	2016-03-09 00:00:00	Servicios de ingeniería o de conocimiento		Innovación Social			No			Inteligencia Artificial (IA)
1380	22CV-207200	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	76918727-8	Bioproductos Nutritivos Ltda	PhycoGummies: Nuevo formato para el consumo de spirulina como suplemento alimentario.	mejorar técnicamente y validar comercialmente el prototipo de una gomita saludable basada en la biomasa de la microalga spirulina para el mercado de los suplementos alimentarios.	2022.0	29926000	$7.548.000	$7.548.000		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Femenino	Sí	ODS2	2.2	No		Región del Biobío	Microempresa	2018-09-20 00:00:00	Alimentos (excepto vitivinícola)		Innovación Social			No			Mass customization
1395	22CV-207014	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	76534645-2	WELL SPA	Lacte 5 Pro Performance, innovadora formulación simbiótica para optimizar rendimiento y recuperación en deportistas	desarrollar una formulación simbiótica para deportistas, para potenciar su rendimiento deportivo, basada en el mix de cepas de lacte5, que junto a minerales, extractos y vitaminas que compondrán la fórmula, mejorarán la recuperación muscular, reducción de fatiga y calambres, aumento en la velocidad de recuperación post esfuerzo y optimización metabólica, condiciones relevantes para mantener la continuidad deportiva, beneficios que serán probados en ensayos con deportistas de la clínica meds.	2022.0	29997000	$15.380.000	$8.820.000		Producto	Salud y Farmacéutica (en humanos)	no aplica	Femenino	Sí	ODS3	3.4	No		Región del Biobío	Sin ventas	2016-04-04 00:00:00	Alimentos (excepto vitivinícola)		Innovación Social			No			Manufactura Avanzada (Advanced Manufacturing)
1397	22CV-207012	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	76258956-7	Zembia SpA	Pulse - Plataforma web y dispositivos para prototipar, escalar y gestionar soluciones IoT Industrial	diseñar y fabricar versión para producción de dispositivos iot que nos permita contar con 5 kits para realizar al menos 20 pruebas comerciales con clientes durante la ejecución del proyectodesarrollar versión comercial de plataforma web implementando mejoras funcionales y de infraestructura que nos permita escalar el servicio para soportar al menos 500 dispositivos conectados	2022.0	30000000	$7.500.000	$2.145.000		Servicio	Otras industrias manufactureras	no aplica	Masculino	Sí	ODS8	8.2	No		Región del Biobío	Pequeña	2013-01-24 00:00:00	Tecnologías de la información		Producción Sostenible			No			Internet de las Cosas (IoT)
1398	22CV-207001	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	77390929-6	STEM & ESG SPA	PROYECTO NANO-OZONO	fabricar y validar un pmv que permita un servicio nematicida y fungicida con al menos un 70% de efectividad; permitiendo además el incremento en al menos un 10% de la productividad y calidad del fruto; aplicando en el riego ozono en formato de nano burbujas innovador; proceso eficiente (r2) y sustentable, que permita el rechazo (r0) al menos parcial de productos químicos nocivos, asi como presentar un nuevo método para las prácticas orgánicas; efectividad validada por un laboratorio certificado.	2022.0	29725406	$22.531.174	$4.573.208		Producto	Vitivinícola	no aplica	Masculino	Sí	ODS12	12.4	Sí	Suministro Circular	Región de Valparaíso	Microempresa	2021-06-30 00:00:00	Vitivinícola	Ecodiseño	Economía Circular		Uso y fabricación de productos más inteligentes	No			Nanotecnología
1401	22CV-206982	Desarrolla innovación	Subsidio	Crea y Valida Rápida Implementación	Crea y Valida Empresarial	FINALIZADO	Persona Jurídica constituida en Chile	77381573-9	Innovaciones y Desarrollos Tecnológicos Upbirk SPA	Agora: Herramienta tecnológica basada en Deep Learning para Business Insights como apoyo a la identificación de oportunidades de inversión en etapa temprana	desarrollar un mvp que, mediante modelos predictivos y deep learning enfocado en el “business insight”, permita a organizaciones identificar oportunidades de inversión de start-ups en etapas tempranas con alto retorno económico, así como realizar procesos de búsqueda de soluciones, generando análisis multivariables de diferentes portafolios de inversión de empresas de alto impacto en chile y el continente.	2022.0	29999460	$7.522.000	$5.022.000		Servicio	Multisectorial	no aplica	Masculino	No					Región de Valparaíso	Microempresa	2021-06-14 00:00:00	Telecomunicaciones y tecnologías de la información					No			Inteligencia Artificial (IA)
1408	21SN2-200650	Renuévate	Subsidio	Súmate a innovar	Súmate a Innovar	FINALIZADO	Persona Jurídica constituida en Chile	77381307-8	INNOVACIONES CAZÁN SpA	Desarrollo de un concentrado de betarraga para la generación de una goma de mascar dirigida a deportistas	evaluar la factibilidad tecnológica de desarrollar un concentrado a base de betarraga (beta vulgaris), con un alto contenido de nitratos de al menos 750 mg de no3 y rico en antioxidantes y validar su utilización en el desarrollo de una goma de mascar pre-workout dirigida a deportistas, libre de sellos de advertencia y organolépticamente aceptable como alternativa de consumo natural y saludable.	2022.0	10000000	$2.500.000	$2.500.000		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Masculino	Sí	ODS8	8.4	No		Región de Valparaíso	Sin ventas	2021-06-10 00:00:00	Alimentos (excepto producción de vino y derivados)		Innovación Social			No			Alimentos Funcionales
1409	21SN2-200648	Renuévate	Subsidio	Súmate a innovar	Súmate a Innovar	FINALIZADO	Persona Jurídica constituida en Chile	77298662-9	Inv. Gastronómicas y Turísticas Anfiteatro SpA	Desarrollo de una línea de productos innovadores congelados como alternativa de valorización del bagazo de cerveza	desarrollar una línea de productos congelados estilo hamburguesa, nutritiva, funcional, sin sellos y con etiqueta limpia, utilizando bagazo de cebada proveniente de la industria cervecera como ingrediente principal, para su venta al canal horeca, como una alternativa saludable, atractiva y sustentable a los productos tradicionales en base a carne.	2022.0	10000000	$2.500.000	$2.500.000		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Masculino	Sí	ODS12	12.5	Sí	Recuperación de Recursos	Región de Valparaíso	Sin ventas	2021-01-29 00:00:00	Alimentos (excepto producción de vino y derivados)	Simbiosis Industrial	Economía Circular		Extensión de vida útil del producto y sus partes	No			Sin tendencia
1412	21SN2-200636	Renuévate	Subsidio	Súmate a innovar	Súmate a Innovar	FINALIZADO	Persona Jurídica constituida en Chile	76846980-6	OETTINGER CORREA Y CIA	Diseño de dos salsas a base de cerezas y guindas ácidas ricas en antioxidantes elaboradas a partir de materia prima de segunda calidad	diseñar dos salsas de cerezas y guindas ácidas ricas en antioxidantes elaboradas a partir de materia prima de segunda calidad	2022.0	8920000	$2.230.000	$2.230.000		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Masculino	No					Región del Maule	Pequeña	2007-05-30 00:00:00	Comercio y retail					No			Alimentos Funcionales
1414	21SN2-200620	Renuévate	Subsidio	Súmate a innovar	Súmate a Innovar	FINALIZADO	Persona Jurídica constituida en Chile	76967211-7	RACIMOS SPA	Diseño de un proceso estandarizado para el desarrollo de productos farináceos con mosto de uva	estudiar y definir una formulación y condiciones de procesos a través del desarrollo y validación nutricional, organoléptica y tecnológica de dos productos farináceos (galletón y brownie) que se encuentren libres de sellos de advertencia nutricional, veganos y con etiqueta limpia a través del aprovechamiento integral del mosto de uva.	2022.0	10000000	$2.500.000	$2.500.000		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Masculino	No	ODS2	2.2			Región de Valparaíso	Sin ventas	2019-01-16 00:00:00	Alimentos (excepto producción de vino y derivados)					No			Sin tendencia
1415	21SN2-200618	Renuévate	Subsidio	Súmate a innovar	Súmate a Innovar	FINALIZADO	Persona Natural	Persona Natural	Persona Natural	Evaluación de alternativas para incrementar la vida útil de una bebida de miel de la región del Maule	definir condiciones de procesos que permitan obtener una bebida de miel estable que presente una vida útil de al menos 3 meses que se acomode a los periodos de comercialización	2022.0	10000000	$2.500.000	$2.500.000		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Masculino	Sí	ODS12	12.a	No		Región de Valparaíso	Sin ventas	2018-03-13 00:00:00	Alimentos (excepto producción de vino y derivados)		Consultoría o estudios para la sostenibilidad			No			Sin tendencia
1416	21SN2-200612	Renuévate	Subsidio	Súmate a innovar	Súmate a Innovar	FINALIZADO	Persona Jurídica constituida en Chile	77441791-5	WESERLAI SPA	Evaluación de alternativas tecnológicas para la valorización de los descartes de crustáceos magallánicos	definir un proceso tecnológico a través del análisis de diferentes alternativas tecnológicas que permitan generar un sazonador utilizando vísceras y caparazones de centolla y centollón de la región de magallanes para la valorización de estos descartes.	2022.0	10000000	$2.500.000	$2.500.000		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Masculino	Sí	ODS12	12.5	No		Región de Valparaíso	Sin ventas	2021-09-29 00:00:00	Otros servicios empresariales		Consultoría o estudios para la sostenibilidad			No			Sin tendencia
1417	21SN2-200611	Renuévate	Subsidio	Súmate a innovar	Súmate a Innovar	FINALIZADO	Persona Jurídica constituida en Chile	77388701-2	Natura Gold Spa	Evaluación del desarrollo de un ingrediente pulverizado como estrategia de revalorización de descartes de Kiwi Gold (Actinidia chinensis)	evaluar la factibilidad tecnológica de desarrollar un ingrediente pulverizado a base de kiwi gold (actinidia chinensis) como estrategia de revalorización de descartes generados del proceso productivo, rescatando las potencialidades nutricionales y funcionales de las materias primas enmarcado en procesos circulares.	2022.0	9960000	$2.490.000	$2.490.000		Producto	Alimentos (excepto producción de vino y derivados)	no aplica	Masculino	No	ODS12	12.5	No		Región de Valparaíso	Sin ventas	2021-07-12 00:00:00	Alimentos (excepto producción de vino y derivados)		Consultoría o estudios para la sostenibilidad			No			Sin tendencia
